Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Veneto,1761,361008,36938,753,1545,4%,1352,28,1.1%,193,3.93,1%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Abruzzo,417,61803,10963,840,760,7%,672,51,0.7%,88,6.74,-1.1%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Basilicata,116,18103,4341,779,180,4%,167,30,1.8%,13,2.33,8.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Calabria,376,42705,8156,424,336,4%,300,16,2%,36,1.87,9.1%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Campania,1997,314986,100338,1734,1724,2%,1569,27,0.4%,155,2.68,1.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Emilia-Romagna,3188,311988,72787,1629,3935,5%,3549,79,-0.1%,386,8.64,0.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Friuli Venezia Giulia,910,90171,15863,1310,624,4%,547,45,0.4%,77,6.36,0%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Lazio,2188,264708,45995,784,2747,6%,2439,42,0.7%,308,5.25,3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Liguria,427,84301,5793,375,641,11%,578,37,1.9%,63,4.08,-1.6%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Lombardia,5518,689107,100904,999,7584,8%,6796,67,0.8%,788,7.8,0.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Marche,822,81617,10035,661,890,9%,749,49,-0.4%,141,9.29,1.4%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Molise,41,11861,1400,463,107,8%,93,31,0%,14,4.63,0%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
P.A. Bolzano,127,56974,3485,655,154,4%,122,23,-9.6%,32,6.01,3.2%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
P.A. Trento,306,38931,3817,703,258,7%,203,37,-0.5%,55,10.13,0%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Piemonte,2997,285023,33455,771,3658,11%,3332,77,1.6%,326,7.51,3.5%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Puglia,1785,173000,41170,1027,1844,4%,1630,41,3%,214,5.34,-2.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Sardegna,134,42979,12867,789,201,2%,176,11,3.5%,25,1.53,-10.7%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Sicilia,859,164358,15784,318,847,5%,726,15,-0.7%,121,2.44,3.4%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Toscana,1365,179488,25639,689,1694,7%,1448,39,-0.4%,246,6.61,0%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Umbria,182,48876,5681,645,460,8%,385,44,-4.7%,75,8.52,-1.3%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Valle d'Aosta,63,8514,453,361,26,6%,24,19,9.1%,2,1.59,0%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Veneto,1917,362925,37613,766,1552,4%,1353,28,0.1%,199,4.05,3.1%,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19
Abruzzo,370,62172,10873,833,751,7%,668,51,-0.6%,83,6.36,-5.7%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Basilicata,147,18250,4417,793,180,4%,166,30,-0.6%,14,2.51,7.7%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Calabria,394,43099,8473,440,342,4%,305,16,1.7%,37,1.92,2.8%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Campania,2196,317182,100895,1744,1736,2%,1575,27,0.4%,161,2.78,3.9%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Emilia-Romagna,2560,314526,73439,1644,3920,5%,3519,79,-0.8%,401,8.98,3.9%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Friuli Venezia Giulia,906,91077,16184,1336,644,4%,564,47,3.1%,80,6.6,3.9%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Lazio,1821,266529,47054,802,2793,6%,2484,42,1.8%,309,5.27,0.3%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Liguria,458,84759,5916,383,650,11%,585,38,1.2%,65,4.21,3.2%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Lombardia,4810,693917,104451,1034,7682,7%,6891,68,1.4%,791,7.83,0.4%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Marche,856,82473,10026,660,895,9%,755,50,0.8%,140,9.22,-0.7%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Molise,62,11923,1347,446,113,8%,97,32,4.3%,16,5.29,14.3%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
P.A. Bolzano,116,57194,3517,661,153,4%,121,23,-0.8%,32,6.01,0%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
P.A. Trento,307,39238,3695,681,255,7%,203,37,0%,52,9.58,-5.5%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Piemonte,2141,287164,33997,783,3693,11%,3361,77,0.9%,332,7.65,1.8%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Puglia,1983,174983,42072,1050,1877,4%,1668,42,2.3%,209,5.21,-2.3%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Sardegna,102,43081,12898,791,197,2%,175,11,-0.6%,22,1.35,-12%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Sicilia,782,165140,15733,317,853,5%,731,15,0.7%,122,2.46,0.8%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Toscana,1510,180998,26051,700,1664,6%,1424,38,-1.7%,240,6.45,-2.4%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Umbria,206,49082,5579,634,446,8%,372,42,-3.4%,74,8.41,-1.3%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Valle d'Aosta,61,8575,503,401,27,5%,25,20,4.2%,2,1.59,0%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Veneto,2044,364969,38333,781,1577,4%,1372,28,1.4%,205,4.18,3%,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20
Abruzzo,353,62525,11182,856,756,7%,671,51,0.4%,85,6.51,2.4%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Basilicata,108,18358,4470,803,175,4%,162,29,-2.4%,13,2.33,-7.1%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Calabria,412,43511,8727,453,343,4%,311,16,2%,32,1.66,-13.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Campania,1810,318992,100676,1740,1786,2%,1613,28,2.4%,173,2.99,7.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Emilia-Romagna,2448,316967,74464,1667,3962,5%,3566,80,1.3%,396,8.86,-1.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Friuli Venezia Giulia,578,91655,16145,1333,677,4%,596,49,5.7%,81,6.69,1.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Lazio,1793,268322,47690,813,2904,6%,2583,44,4%,321,5.47,3.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Liguria,380,85139,5951,386,645,11%,586,38,0.2%,59,3.82,-9.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Lombardia,4003,697920,105775,1047,7732,7%,6926,69,0.5%,806,7.98,1.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Marche,700,83173,10065,663,907,9%,761,50,0.8%,146,9.62,4.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Molise,57,11980,1347,446,116,9%,100,33,3.1%,16,5.29,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
P.A. Bolzano,76,57163,3308,622,153,5%,123,23,1.7%,30,5.64,-6.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
P.A. Trento,155,39393,3706,683,266,7%,214,39,5.4%,52,9.58,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Piemonte,1751,288915,34531,795,3801,11%,3455,80,2.8%,346,7.97,4.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Puglia,1546,176529,43079,1075,1895,4%,1683,42,0.9%,212,5.29,1.4%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Sardegna,176,43257,13016,798,199,2%,178,11,1.7%,21,1.29,-4.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Sicilia,699,165839,16192,326,876,5%,751,15,2.7%,125,2.52,2.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Toscana,1358,182356,26348,708,1653,6%,1408,38,-1.1%,245,6.58,2.1%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Umbria,142,49224,5516,627,438,8%,366,42,-1.6%,72,8.18,-2.7%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Valle d'Aosta,28,8603,530,422,24,5%,22,18,-12%,2,1.59,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Veneto,1586,366555,38954,794,1624,4%,1409,29,2.7%,215,4.38,4.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21
Abruzzo,190,62714,11068,848,759,7%,670,51,-0.1%,89,6.82,4.7%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Basilicata,24,18382,4459,801,172,4%,158,28,-2.5%,14,2.51,7.7%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Calabria,156,43667,8711,453,348,4%,315,16,1.3%,33,1.71,3.1%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Campania,1313,320305,99329,1717,1791,2%,1620,28,0.4%,171,2.96,-1.2%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Emilia-Romagna,2118,319080,74771,1674,4092,5%,3702,83,3.8%,390,8.73,-1.5%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Friuli Venezia Giulia,405,92060,16369,1351,693,4%,611,50,2.5%,82,6.77,1.2%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Lazio,1407,269729,48502,827,3019,6%,2678,46,3.7%,341,5.81,6.2%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Liguria,294,85433,6024,390,660,11%,602,39,2.7%,58,3.76,-1.7%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Lombardia,2105,700025,98563,975,7774,8%,6952,69,0.4%,822,8.14,2%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Marche,265,83438,9962,656,920,9%,768,51,0.9%,152,10.01,4.1%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Molise,18,11998,1306,432,113,9%,94,31,-6%,19,6.29,18.8%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
P.A. Bolzano,35,67859,999,188,158,16%,128,24,4.1%,30,5.64,0%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
P.A. Trento,80,39473,3508,646,264,8%,211,39,-1.4%,53,9.77,1.9%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Piemonte,1521,290436,34883,804,3885,11%,3536,81,2.3%,349,8.04,0.9%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Puglia,844,177373,42990,1073,1935,5%,1712,43,1.7%,223,5.56,5.2%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Sardegna,161,43418,13084,802,207,2%,185,11,3.9%,22,1.35,4.8%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Sicilia,666,166505,16618,334,906,5%,783,16,4.3%,123,2.48,-1.6%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Toscana,1140,183496,26779,719,1706,6%,1461,39,3.8%,245,6.58,0%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Umbria,71,49295,5403,614,461,9%,388,44,6%,73,8.29,1.4%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Valle d'Aosta,52,8655,565,450,25,4%,23,18,4.5%,2,1.59,0%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Veneto,981,367536,39174,798,1671,4%,1452,30,3.1%,219,4.46,1.9%,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22
Abruzzo,188,62902,10895,834,744,7%,657,50,-1.9%,87,6.66,-2.2%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Basilicata,121,18503,4502,808,172,4%,159,29,0.6%,13,2.33,-7.1%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Calabria,317,43984,8913,463,356,4%,323,17,2.5%,33,1.71,0%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Campania,1862,322167,98135,1696,1776,2%,1598,28,-1.4%,178,3.08,4.1%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Emilia-Romagna,1578,320632,73596,1648,4054,6%,3659,82,-1.2%,395,8.84,1.3%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Friuli Venezia Giulia,548,92608,16280,1344,703,4%,620,51,1.5%,83,6.85,1.2%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Lazio,1491,271220,48826,832,3029,6%,2683,46,0.2%,346,5.9,1.5%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Liguria,360,85793,5955,386,669,11%,604,39,0.3%,65,4.21,12.1%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Lombardia,3643,703668,98256,972,8001,8%,7165,71,3.1%,836,8.27,1.7%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Marche,405,83843,9956,656,945,9%,799,53,4%,146,9.62,-3.9%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Molise,27,12025,1172,388,108,9%,91,30,-3.2%,17,5.62,-10.5%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
P.A. Bolzano,148,68007,912,171,150,16%,120,23,-6.3%,30,5.64,0%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
P.A. Trento,191,39664,3450,636,257,7%,205,38,-2.8%,52,9.58,-1.9%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Piemonte,2080,292516,34883,804,3919,11%,3572,82,1%,347,7.99,-0.6%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Puglia,1664,179037,43594,1088,2011,5%,1787,45,4.4%,224,5.59,0.4%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Sardegna,159,43577,13167,808,196,1%,172,11,-7%,24,1.47,9.1%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Sicilia,751,167256,16489,332,935,6%,814,16,4%,121,2.44,-1.6%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Toscana,1062,184558,26638,716,1729,6%,1486,40,1.7%,243,6.53,-0.8%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Umbria,174,49469,5383,612,450,8%,383,44,-1.3%,67,7.61,-8.2%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Valle d'Aosta,30,8685,569,453,29,5%,26,21,13%,3,2.39,50%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Veneto,1966,369502,39083,796,1741,4%,1505,31,3.7%,236,4.81,7.8%,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23
Abruzzo,329,63231,10651,816,717,7%,635,49,-3.3%,82,6.28,-5.7%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Basilicata,115,18618,4498,808,162,4%,148,27,-6.9%,14,2.51,7.7%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Calabria,365,44349,9068,471,359,4%,326,17,0.9%,33,1.71,0%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Campania,2045,324212,98048,1695,1766,2%,1587,27,-0.7%,179,3.09,0.6%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Emilia-Romagna,1725,322337,71856,1609,4011,6%,3614,81,-1.2%,397,8.89,0.5%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Friuli Venezia Giulia,762,93370,16740,1382,714,4%,634,52,2.3%,80,6.6,-3.6%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Lazio,1709,272929,48791,832,3074,6%,2724,46,1.5%,350,5.97,1.2%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Liguria,420,86213,5793,375,660,11%,597,39,-1.2%,63,4.08,-3.1%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Lombardia,4282,707950,100172,991,8023,8%,7178,71,0.2%,845,8.36,1.1%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Marche,632,84475,10096,665,959,9%,803,53,0.5%,156,10.27,6.8%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Molise,29,12054,1118,370,106,9%,89,29,-2.2%,17,5.62,0%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
P.A. Bolzano,162,68168,870,164,146,17%,115,22,-4.2%,31,5.83,3.3%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
P.A. Trento,308,39972,3376,622,255,8%,208,38,1.5%,47,8.66,-9.6%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Piemonte,2223,294739,34948,805,3962,11%,3608,83,1%,354,8.15,2%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Puglia,1709,180746,44157,1102,1988,5%,1761,44,-1.5%,227,5.66,1.3%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Sardegna,153,43730,13229,811,199,2%,173,11,0.6%,26,1.59,8.3%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Sicilia,765,168021,16387,330,931,6%,812,16,-0.2%,119,2.4,-1.7%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Toscana,1197,185755,26511,712,1741,7%,1488,40,0.1%,253,6.8,4.1%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Umbria,225,49694,5244,596,448,9%,382,43,-0.3%,66,7.5,-1.5%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Valle d'Aosta,70,8755,627,500,30,5%,27,22,3.8%,3,2.39,0%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Veneto,2042,371544,39128,797,1775,5%,1529,31,1.6%,246,5.01,4.2%,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24
Abruzzo,310,63541,10487,803,700,7%,621,48,-2.2%,79,6.05,-3.7%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Basilicata,106,18724,4552,817,171,4%,156,28,5.4%,15,2.69,7.1%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Calabria,475,44824,9411,489,365,4%,331,17,1.5%,34,1.77,3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Campania,2068,326280,97240,1681,1760,2%,1576,27,-0.7%,184,3.18,2.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Emilia-Romagna,2070,324394,71835,1608,3959,6%,3557,80,-1.6%,402,9,1.3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Friuli Venezia Giulia,842,94212,15968,1318,723,5%,645,53,1.7%,78,6.44,-2.5%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Lazio,2055,274984,49061,836,3118,6%,2763,47,1.4%,355,6.05,1.4%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Liguria,494,86707,6155,399,654,11%,589,38,-1.3%,65,4.21,3.2%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Lombardia,5046,712996,102078,1010,7977,8%,7132,71,-0.6%,845,8.36,0%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Marche,621,85096,10176,670,961,9%,804,53,0.1%,157,10.34,0.6%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Molise,21,12075,1058,350,103,10%,87,29,-2.2%,16,5.29,-5.9%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
P.A. Bolzano,137,68303,909,171,137,15%,106,20,-7.8%,31,5.83,0%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
P.A. Trento,177,40149,3342,616,248,7%,203,37,-2.4%,45,8.29,-4.3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Piemonte,2582,297321,35292,813,4034,11%,3677,85,1.9%,357,8.22,0.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Puglia,2033,182779,44177,1102,1993,5%,1762,44,0.1%,231,5.76,1.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Sardegna,211,43941,13360,819,200,1%,173,11,0%,27,1.66,3.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Sicilia,895,168916,15994,322,931,6%,813,16,0.1%,118,2.38,-0.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Toscana,1518,187273,26762,719,1727,6%,1470,39,-1.2%,257,6.9,1.6%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Umbria,113,49807,5167,587,438,8%,375,43,-1.8%,63,7.16,-4.5%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Valle d'Aosta,61,8816,649,517,33,5%,28,22,3.7%,5,3.98,66.7%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Veneto,1861,373405,39183,798,1812,5%,1556,32,1.8%,256,5.22,4.1%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25
Abruzzo,392,63933,10450,800,700,7%,615,47,-1%,85,6.51,7.6%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Basilicata,143,18867,4618,829,172,4%,157,28,0.6%,15,2.69,0%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Calabria,412,45236,9623,500,375,4%,340,18,2.7%,35,1.82,2.9%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Campania,1947,328227,96251,1664,1767,2%,1586,27,0.6%,181,3.13,-1.6%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Emilia-Romagna,2391,326776,71859,1609,3914,5%,3515,79,-1.2%,399,8.93,-0.7%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Friuli Venezia Giulia,768,94980,16020,1322,728,5%,650,54,0.8%,78,6.44,0%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Lazio,2006,276990,49219,839,3152,6%,2792,48,1%,360,6.14,1.4%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Liguria,487,87194,6326,410,672,11%,605,39,2.7%,67,4.34,3.1%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Lombardia,5077,718073,104655,1036,7959,8%,7111,70,-0.3%,848,8.39,0.4%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Marche,674,85770,10112,666,959,9%,807,53,0.4%,152,10.01,-3.2%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Molise,53,12128,1039,344,94,9%,77,25,-11.5%,17,5.62,6.3%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
P.A. Bolzano,153,68452,931,175,137,15%,108,20,1.9%,29,5.45,-6.5%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
P.A. Trento,238,40387,3280,604,238,7%,194,36,-4.4%,44,8.11,-2.2%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Piemonte,2117,299438,35135,809,4117,12%,3759,87,2.2%,358,8.25,0.3%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Puglia,2162,184941,44796,1118,1997,4%,1766,44,0.2%,231,5.76,0%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Sardegna,178,44119,13472,826,200,1%,170,10,-1.7%,30,1.84,11.1%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Sicilia,892,169808,16403,330,920,6%,799,16,-1.7%,121,2.44,2.5%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Toscana,1425,188800,27226,731,1730,6%,1473,40,0.2%,257,6.9,0%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Umbria,320,50127,5250,596,433,8%,376,43,0.3%,57,6.48,-9.5%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Valle d'Aosta,57,8873,690,550,31,4%,24,19,-14.3%,7,5.58,40%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Veneto,2095,375500,39356,802,1805,5%,1548,32,-0.5%,257,5.24,0.4%,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26
Abruzzo,348,64281,10413,797,706,7%,623,48,1.3%,83,6.36,-2.4%,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,2021-03-27
Basilicata,133,19000,4721,848,171,4%,157,28,0%,14,2.51,-6.7%,Dati della Protezione Civile del 27 Marzo 2021 ore 18:15,2021-03-27
