Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
Calabria,122,964,12,174,3,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Campania,200,3511,15,555,189,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Emilia-Romagna,338,7920,46,889,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Friuli Venezia Giulia,38,1277,8,175,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Lazio,367,6421,56,943,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Liguria,52,1696,4,217,12,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Lombardia,351,6369,63,1530,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Marche,40,971,15,212,60,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
P.A. Bolzano,27,500,5,100,20,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
P.A. Trento,16,517,4,90,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Piemonte,166,5824,21,628,99,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Puglia,150,2745,18,482,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Sardegna,107,1602,16,204,16,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Sicilia,389,3746,49,891,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Toscana,231,5033,32,570,37,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Umbria,44,662,6,84,43,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Veneto,151,6000,37,1000,0,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Abruzzo,48,1324,5,177,23,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Basilicata,29,364,1,88,13,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Calabria,119,966,9,174,3,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Campania,203,3511,17,555,189,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Emilia-Romagna,340,7920,46,889,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Friuli Venezia Giulia,34,1277,8,175,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Lazio,362,6421,53,943,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Liguria,49,1696,6,217,12,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Lombardia,349,6369,63,1530,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Marche,36,971,15,212,60,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
P.A. Bolzano,26,500,6,100,20,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
P.A. Trento,17,517,4,90,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Piemonte,161,5824,20,628,99,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Puglia,146,2745,19,482,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Sardegna,100,1602,15,204,16,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Sicilia,370,3756,45,891,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Toscana,227,5033,28,570,37,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Umbria,46,662,5,84,43,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Veneto,158,6000,37,1000,0,Dati della Protezione Civile del 07 Ottobre 2021 ore 17:59,,,,,
Abruzzo,46,1324,5,177,23,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Basilicata,28,364,0,88,13,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Calabria,116,966,8,174,3,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Campania,192,3511,16,555,189,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Emilia-Romagna,327,7920,39,889,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Friuli Venezia Giulia,37,1277,7,175,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Lazio,350,6421,51,943,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Liguria,50,1690,6,217,12,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Lombardia,334,6369,60,1530,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Marche,38,971,13,212,61,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
P.A. Bolzano,23,500,6,100,20,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
P.A. Trento,16,517,3,90,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Piemonte,154,5824,19,628,99,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Puglia,135,2745,20,482,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Sardegna,100,1602,17,204,16,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Sicilia,365,3746,40,893,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Toscana,224,5033,28,570,37,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Umbria,49,662,5,84,43,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Veneto,154,6000,39,1000,0,Dati della Protezione Civile del 08 Ottobre 2021 ore 18:19,,,,,
Abruzzo,46,1324,5,177,23,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Basilicata,26,364,0,88,13,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Calabria,107,966,9,174,3,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Campania,188,3511,13,555,189,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Emilia-Romagna,308,7920,42,889,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Friuli Venezia Giulia,42,1277,8,175,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Lazio,348,6421,52,943,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Liguria,53,1690,6,217,12,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Lombardia,339,6369,57,1530,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Marche,43,971,12,212,61,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
P.A. Bolzano,25,500,6,100,20,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
P.A. Trento,13,517,3,90,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Piemonte,162,5824,16,628,99,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Puglia,136,2745,20,482,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Sardegna,84,1602,12,204,16,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Sicilia,348,3746,42,893,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Toscana,223,5033,27,570,37,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Umbria,45,662,5,84,43,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Veneto,152,6000,31,1000,0,Dati della Protezione Civile del 09 Ottobre 2021 ore 19:33,,,,,
Abruzzo,49,1324,6,177,23,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Basilicata,25,364,0,88,13,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Calabria,109,966,9,174,3,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Campania,179,3511,12,555,189,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Emilia-Romagna,315,7920,44,889,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Friuli Venezia Giulia,43,1277,9,175,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Lazio,340,6421,50,943,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Liguria,52,1690,7,217,12,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Lombardia,333,6369,54,1530,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Marche,44,971,12,212,61,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
P.A. Bolzano,25,500,6,100,20,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
P.A. Trento,13,517,3,90,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Piemonte,164,5824,17,628,99,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Puglia,135,2745,19,482,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Sardegna,77,1602,12,204,16,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Sicilia,335,3746,43,892,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Toscana,216,5033,25,570,37,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Umbria,41,662,5,84,43,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Veneto,152,6000,30,1000,0,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36,,,,,
Abruzzo,49,1324,6,177,23,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Basilicata,24,364,0,88,13,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Calabria,107,966,10,174,3,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Campania,178,3511,14,555,189,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Emilia-Romagna,322,7920,46,889,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Friuli Venezia Giulia,44,1277,9,175,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Lazio,361,6421,51,943,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Liguria,49,1690,6,217,12,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Lombardia,325,6369,55,1530,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Marche,44,971,12,212,61,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
P.A. Bolzano,25,500,6,100,20,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
P.A. Trento,15,517,3,90,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Piemonte,179,5824,19,628,99,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Puglia,134,2745,21,482,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Sardegna,77,1602,13,204,16,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Sicilia,345,3743,42,892,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Toscana,220,5033,25,570,37,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Umbria,40,662,5,84,43,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Veneto,146,6000,30,1000,0,Dati della Protezione Civile del 11 Ottobre 2021 ore 20:03,,,,,
Abruzzo,48,1324,5,177,23,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Basilicata,26,364,0,88,13,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Calabria,101,966,11,174,3,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Campania,177,3511,18,555,189,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Emilia-Romagna,338,7920,42,889,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Friuli Venezia Giulia,47,1277,9,175,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Lazio,344,6421,48,943,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Liguria,44,1690,6,217,12,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Lombardia,333,6369,56,1530,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Marche,44,971,12,212,61,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
P.A. Bolzano,23,500,6,100,20,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
P.A. Trento,16,517,3,90,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Piemonte,183,5824,19,628,99,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Puglia,135,2745,20,482,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Sardegna,76,1602,12,204,16,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Sicilia,340,3743,39,892,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Toscana,207,5033,25,570,37,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Umbria,39,662,5,84,43,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Valle d'Aosta,1,83,0,33,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Veneto,141,6000,33,1000,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09,,,,,
Abruzzo,47,1324,5,177,23,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Basilicata,25,364,0,88,13,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Calabria,92,966,11,174,3,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Campania,174,3511,17,555,189,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Emilia-Romagna,320,7920,40,889,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Friuli Venezia Giulia,39,1277,9,175,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Lazio,324,6421,49,943,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Liguria,51,1690,5,217,12,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Lombardia,315,6369,59,1530,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Marche,43,971,12,212,61,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Molise,3,176,1,39,26,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
P.A. Bolzano,21,500,6,100,20,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
P.A. Trento,15,517,3,90,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Piemonte,173,5824,19,628,99,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Puglia,135,2745,20,482,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Sardegna,77,1602,10,204,16,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Sicilia,314,3716,41,893,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Toscana,204,5033,23,570,37,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Umbria,34,662,4,84,43,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Veneto,144,6000,33,1000,0,Dati della Protezione Civile del 13 Ottobre 2021 ore 17:40,,,,,
Abruzzo,49,1324,5,177,23,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Basilicata,26,364,0,88,13,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Calabria,92,966,11,174,3,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Campania,172,3511,17,555,189,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Emilia-Romagna,319,7920,36,889,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Friuli Venezia Giulia,40,1277,8,175,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Lazio,305,6421,50,943,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Liguria,51,1690,6,217,12,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Lombardia,300,6369,54,1530,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Marche,41,971,13,212,61,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Molise,3,176,0,39,26,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
P.A. Bolzano,23,500,7,100,20,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
P.A. Trento,17,517,3,90,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Piemonte,175,5824,20,628,99,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Puglia,131,2745,19,482,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Sardegna,79,1602,10,204,16,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Sicilia,291,3716,41,894,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Toscana,186,5033,23,570,37,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Umbria,31,662,4,84,43,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Veneto,145,6000,32,1000,0,Dati della Protezione Civile del 14 Ottobre 2021 ore 19:37,,,,,
Abruzzo,48,1324,5,177,23,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Basilicata,24,364,0,88,13,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Calabria,94,966,12,174,3,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Campania,189,3511,16,555,189,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Emilia-Romagna,310,7920,35,889,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Friuli Venezia Giulia,41,1277,7,175,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Lazio,294,6421,50,943,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Liguria,56,1690,6,217,12,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Lombardia,297,6369,56,1530,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Marche,41,971,13,212,61,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Molise,1,176,1,39,26,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
P.A. Bolzano,22,500,8,100,20,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
P.A. Trento,18,517,3,90,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Piemonte,177,5824,20,628,99,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Puglia,133,2745,18,482,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Sardegna,76,1602,9,204,16,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Sicilia,259,3716,43,894,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Toscana,194,5033,22,570,37,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Umbria,33,662,5,84,43,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Veneto,135,6000,28,1000,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22,,,,,
Abruzzo,50,1538,5,177,23,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Basilicata,22,364,0,88,13,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Calabria,90,966,14,174,3,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Campania,173,3511,15,555,189,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Emilia-Romagna,293,7920,33,889,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Friuli Venezia Giulia,37,1277,7,175,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Lazio,298,6421,50,943,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Liguria,53,1700,6,217,12,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Lombardia,287,6369,55,1530,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Marche,41,971,13,212,62,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
P.A. Bolzano,23,500,7,100,20,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
P.A. Trento,17,517,2,90,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Piemonte,182,5824,17,628,99,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Puglia,134,2745,18,482,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Sardegna,53,1602,10,204,16,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Sicilia,250,3716,43,894,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Toscana,194,5033,21,570,37,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Umbria,32,662,5,84,43,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Valle d'Aosta,4,83,0,33,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
Veneto,136,6000,30,1000,0,Dati della Protezione Civile del 16 Ottobre 2021 ore 18:42,,,,,
