DATA_DECESSO,DECESSI,iss_date
30/04/2022,109,08/08/2022
01/05/2022,101,08/08/2022
02/05/2022,107,08/08/2022
03/05/2022,123,08/08/2022
04/05/2022,97,08/08/2022
05/05/2022,120,08/08/2022
06/05/2022,109,08/08/2022
07/05/2022,114,08/08/2022
08/05/2022,97,08/08/2022
09/05/2022,109,08/08/2022
10/05/2022,89,08/08/2022
11/05/2022,95,08/08/2022
12/05/2022,78,08/08/2022
13/05/2022,97,08/08/2022
14/05/2022,102,08/08/2022
15/05/2022,110,08/08/2022
16/05/2022,83,08/08/2022
17/05/2022,77,08/08/2022
18/05/2022,86,08/08/2022
19/05/2022,73,08/08/2022
20/05/2022,85,08/08/2022
21/05/2022,73,08/08/2022
22/05/2022,71,08/08/2022
23/05/2022,71,08/08/2022
24/05/2022,85,08/08/2022
25/05/2022,70,08/08/2022
26/05/2022,74,08/08/2022
27/05/2022,45,08/08/2022
28/05/2022,57,08/08/2022
29/05/2022,43,08/08/2022
30/05/2022,39,08/08/2022
31/05/2022,53,08/08/2022
01/06/2022,50,08/08/2022
03/06/2022,53,08/08/2022
05/06/2022,45,08/08/2022
06/06/2022,56,08/08/2022
07/06/2022,53,08/08/2022
08/06/2022,55,08/08/2022
09/06/2022,48,08/08/2022
10/06/2022,36,08/08/2022
11/06/2022,38,08/08/2022
13/06/2022,41,08/08/2022
14/06/2022,35,08/08/2022
15/06/2022,47,08/08/2022
16/06/2022,31,08/08/2022
17/06/2022,48,08/08/2022
20/06/2022,51,08/08/2022
25/06/2022,52,08/08/2022
27/06/2022,56,08/08/2022
28/06/2022,62,08/08/2022
29/06/2022,62,08/08/2022
30/06/2022,68,08/08/2022
01/07/2022,62,08/08/2022
04/07/2022,86,08/08/2022
06/07/2022,99,08/08/2022
08/07/2022,82,08/08/2022
09/07/2022,120,08/08/2022
10/07/2022,87,08/08/2022
12/07/2022,119,08/08/2022
14/07/2022,115,08/08/2022
,21219524,08/08/2022
02/06/2022,38,08/08/2022
04/06/2022,59,08/08/2022
12/06/2022,46,08/08/2022
18/06/2022,38,08/08/2022
19/06/2022,45,08/08/2022
