iss_date,DATA_INIZIO_SINTOMI,CASI
12/12/2020,10/07/2020,110
12/12/2020,11/07/2020,76
12/12/2020,12/07/2020,72
12/12/2020,13/07/2020,102
12/12/2020,14/07/2020,116
12/12/2020,15/07/2020,98
12/12/2020,16/07/2020,85
12/12/2020,17/07/2020,103
12/12/2020,18/07/2020,91
12/12/2020,19/07/2020,87
12/12/2020,20/07/2020,137
12/12/2020,21/07/2020,120
12/12/2020,22/07/2020,114
12/12/2020,23/07/2020,130
12/12/2020,24/07/2020,114
12/12/2020,25/07/2020,131
12/12/2020,26/07/2020,94
12/12/2020,27/07/2020,132
12/12/2020,28/07/2020,134
12/12/2020,29/07/2020,131
12/12/2020,30/07/2020,122
12/12/2020,31/07/2020,126
12/12/2020,01/08/2020,156
12/12/2020,02/08/2020,120
12/12/2020,03/08/2020,208
12/12/2020,04/08/2020,189
12/12/2020,05/08/2020,206
12/12/2020,06/08/2020,216
12/12/2020,07/08/2020,209
12/12/2020,08/08/2020,251
12/12/2020,09/08/2020,209
12/12/2020,10/08/2020,292
12/12/2020,11/08/2020,268
12/12/2020,12/08/2020,280
12/12/2020,13/08/2020,307
12/12/2020,14/08/2020,310
12/12/2020,15/08/2020,347
12/12/2020,16/08/2020,361
12/12/2020,17/08/2020,562
12/12/2020,18/08/2020,627
12/12/2020,19/08/2020,568
12/12/2020,20/08/2020,580
12/12/2020,21/08/2020,614
