X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
9.98175715,45.50900678,"971","3017045",CASTREZZATO,BRESCIA,BS,LOMBARDIA,9.98175715,45.50900678,"971","1583107200000","1","0","1726"
9.98175715,45.50900678,"971","3017045",CASTREZZATO,BRESCIA,BS,LOMBARDIA,9.98175715,45.50900678,"971","1583452800000","1","0","1727"
9.98175715,45.50900678,"971","3017045",CASTREZZATO,BRESCIA,BS,LOMBARDIA,9.98175715,45.50900678,"971","1583539200000","4","0","1728"
9.98175715,45.50900678,"971","3017045",CASTREZZATO,BRESCIA,BS,LOMBARDIA,9.98175715,45.50900678,"971","1583625600000","1","0","1729"
9.98175715,45.50900678,"971","3017045",CASTREZZATO,BRESCIA,BS,LOMBARDIA,9.98175715,45.50900678,"971","1583798400000","1","0","1730"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1582675200000","1","0","1731"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583280000000","1","1","1732"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583366400000","2","0","1733"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583452800000","3","0","1734"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583539200000","1","0","1735"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583625600000","2","1","1736"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583712000000","1","0","1737"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583798400000","3","0","1738"
10.03541468,45.57543617,"1205","3017046",CAZZAGO SAN MARTINO,BRESCIA,BS,LOMBARDIA,10.03541468,45.57543617,"1205","1583884800000","2","0","1739"
10.17839875,45.57850022,"1501","3017048",CELLATICA,BRESCIA,BS,LOMBARDIA,10.17839875,45.57850022,"1501","1582502400000","2","0","1740"
10.17839875,45.57850022,"1501","3017048",CELLATICA,BRESCIA,BS,LOMBARDIA,10.17839875,45.57850022,"1501","1583107200000","1","0","1741"
10.17839875,45.57850022,"1501","3017048",CELLATICA,BRESCIA,BS,LOMBARDIA,10.17839875,45.57850022,"1501","1583193600000","2","0","1742"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583366400000","6","0","1743"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583452800000","4","1","1744"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583539200000","3","0","1745"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583366400000","0","1","1746"
9.84024704,45.83441212,"127","3016080",COLZATE,BERGAMO,BG,LOMBARDIA,9.84024704,45.83441212,"127","1583798400000","3","0","1747"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583452800000","1","0","1748"
9.66094464,45.6148151,"371","3016081",COMUN NUOVO,BERGAMO,BG,LOMBARDIA,9.66094464,45.6148151,"371","1582848000000","1","0","1749"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1583539200000","1","0","1750"
